hi,cześć
hey,hej
welcome,witam
able,w stanie
about,około
above,ponad
accept,akceptować
account,konto
acid,kwas
across,poprzez
act,akt
add,dodawać
addition,dodatek
adjustment,regulacja
advertisement,reklama
after,później
again,znowu
against,przeciwko
age,wiek
ago,temu
agreement,umowa
air,powietrze
all,wszystko
allow,pozwalać
almost,prawie
also,również
always,zawsze
AM,przed południem
among,wśród
amount,ilość
amusement,rozbawienie
and,i
angle,kąt
angry,rozgniewany
animal,zwierzę
answer,odpowiedź
ant,mrówka
any,dowolny
apparatus,sprzęt
appear,ukazywać się
apple,jabłko
approval,zgoda
arch,łuk
area,obszar
argument,argument
arm,ramię
army,armia
art,sztuka
as,jako
ask,poprosić
at,przy
attempt,próba
attention,zainteresowanie